,name,host_id,host_name,property_type,room_type,bedrooms,beds,bathrooms,bathrooms_text,accommodates,description,price,neighbourhood_cleansed,latitude,longitude,number_of_reviews,last_review,minimum_nights,availability_365,review_scores_rating
0,luminosa mansarda con balcón,118157228,Patricia,Private room in home,Private room,,1.0,1.0,1 shared bath,2,Forget your worries in this spacious and serene space.,"$45,647.00",Ñuñoa,-33.43765,-70.5833,2,2023-12-15,4.0,269,5.0
1,Cómoda habitación bien ubicada con baño privado,462786436,Luís Alfonso,Private room in condo,Private room,1.0,1.0,,0 shared baths,1,"From this centrally located place you can enjoy easy access to everything. Close to the Cerro Blanco Metro Station, the zoo, and the historic center, and with easy access to the Providencia district and the eastern area. Ideal for those coming to events at Espacio Riesco and Movistar Arena. Male guests only.","$19,856.00",Recoleta,-33.42242,-70.64116,8,2026-05-03,1.0,239,5.0
2,Cómodo departamento Cerca de Metro,279796881,Daniel,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Comfortable apartment in a strategic location in Santiago.<br /><br />Enjoy a comfortable stay in a fully equipped apartment, ideal for travelers, students, health professionals and people who need to stay in the capital while optimizing costs and travel times.<br /><br />The accommodation is located in front of the Cerro Blanco Metro station (Line 2), which provides excellent connections to different parts of the city.<br />.","$46,776.00",Recoleta,-33.42325,-70.64565,126,2026-06-25,1.0,254,4.74
3,Acogedor Dormitorio + baño priv.,149097696,Francisco,Private room in rental unit,Private room,,1.0,1.0,1 private bath,1,"Enjoy the simplicity of this quiet and centrally located accommodation.<br />at the foot of San Cristóbal hill with a nice view, perfect for tourists or people looking for an entertaining, safe place connected to all the attractions of this beautiful city.<br />It has a room and bathroom exclusively for the user.","$25,572.00",Recoleta,-33.4226828,-70.6398686,0,,1.0,365,
4,Departamento frente a est. metro,386871617,Patricia,Entire rental unit,Entire home/apt,2.0,2.0,1.0,1 bath,3,"Enjoy a stylish experience in this centrally located accommodation. In front of the Cerro Blanco metro station, supermarkets, and shops in general. Within walking distance of highly implemented clinics.","$107,043.50",Recoleta,-33.42269,-70.64369,0,,2.0,268,
5,Departamento Impecable,750099453,Santiago Waldemar,Entire rental unit,Entire home/apt,3.0,3.0,2.0,2 baths,5,"Reconnect with your loved ones at this family-friendly place to stay. Close to the Patronato shopping district, close to San Cristóbal Hill, close to the Santiago Civic Center, close to the Dávila and University of Chile clinics, and close to the metro.","$56,615.33",Recoleta,-33.4256566,-70.6435214,0,,3.0,355,
6,10 minutos del aeropuerto.,233716161,Jacqueline,Private room in home,Private room,,1.0,1.0,1 bath,2,"Especially so you don't sleep at the airport, we're just 10 minutes away. We offer you comfort and tranquility by putting at your disposal equipped rooms so you don't have to spend long hours waiting for your next flight. Don't hesitate to visit us and make your reservation.","$35,000.00",Quilicura,-33.386208,-70.726767,86,2026-04-14,1.0,268,4.74
7,Habitación Ren Metro escuela Militar,476005983,Carmen,Private room in rental unit,Private room,1.0,1.0,1.0,1 shared bath,2,"Room three blocks away from the Escuela Militar Metro<br />It has a shared bathroom, and if you need parking, there is an additional cost of 6000 pesos per night","$32,627.00",Las Condes,-33.41880500000001,-70.58183629999999,8,2026-02-26,1.0,89,4.38
8,Tranquilidad en Cerrillos,109458180,Carlos,Shared room in rental unit,Shared room,1.0,1.0,1.0,1 shared bath,2,"Apartment in a quiet place inside a condominium, with parking, with good transportation near the Cerrillos metro, Plaza Oeste mall, you can walk to the bicentennial park.","$40,169.00",Cerrillos,-33.4942277,-70.7191004,0,,1.0,365,
9,Habitación Amoblada impecable.,140450718,Alvaro,Private room in home,Private room,,1.0,1.0,1 bath,1,"An impeccable room where you can enjoy the tranquility of a safe area, to rest or work if you wish.  Walking distance to the subway, supermarkets, and minutes from the airport or bus terminals, by car or public transport respectively.","$24,013.00",Maipú,-33.48326,-70.73959,0,,1.0,269,
10,Casa de paz,547319746,Lenny,Entire home,Entire home/apt,3.0,3.0,1.0,1 bath,5,A beautiful house to stay 100% equipped and perfect to enjoy Chile.<br /><br />The house is on the edge of Peñalolén and Florida.<br /><br />Check-in is autonomous with access via key (sent on the day of your arrival)<br /><br />We will be very happy with you enjoying our home. ☺️♥️,"$61,239.33",La Florida,-33.5149,-70.56109,1,2026-05-24,3.0,342,4.0
11,Giardino hause,756282796,Giardino Hause,Entire home,Entire home/apt,1.0,3.0,,0 baths,3,Take a break and relax in this peaceful oasis.,"$63,500.00",Pudahuel,-33.463970275970105,-70.73657639775558,1,2026-04-26,1.0,365,5.0
12,Acampada al aire libre,445356050,Yen,Private room in tent,Private room,,1.0,1.0,1 private bath,2,"A romantic and surprising place to stay that you won't forget. Overlooking the hill, a special intimate place to get out of the routine with your partner, nice viewpoint where there is a tent for two people with inflatable mattress and bedding, jacuzzi, pool, quincho entrance 12:30 departure 12:30 the next day",,Pudahuel,-33.46024209999999,-70.84433690000002,0,,1.0,363,
